ID SHARE,Trade Date,Open,Close,High,Low
NOVO-B.CO,19/09/2024,900.0,898.2,907.0,893.1
BNR.DE,04/09/2024,66.86,66.7,67.28,66.3
BNR.DE,06/09/2024,65.14,64.28,65.26,64.08
BNR.DE,23/09/2024,61.68,61.64,62.34,61.5
BNR.DE,24/09/2024,62.32,62.06,62.66,61.88
GILD,10/09/2024,77.78,80.01,80.13,77.35
AMZN,27/09/2024,190.68,187.97,190.9,187.34
MSFT,18/09/2024,433.26,429.09,434.29,428.69
MSFT,26/09/2024,433.35,429.59,433.56,427.42
CME,10/09/2024,211.46,212.16,213.28,210.72
INTC,10/09/2024,19.03,18.98,19.11,18.51
NESN.SW,04/09/2024,91.64,89.64,91.66,89.46
NESN.SW,06/09/2024,88.36,87.54,88.94,87.54
NESN.SW,11/09/2024,88.36,87.76,88.78,87.76
NESN.SW,19/09/2024,86.36,85.4,86.42,85.0
PSN.L,04/09/2024,1588.81,1562.62,1602.65,1560.15
PSN.L,06/09/2024,1581.89,1564.59,1585.84,1546.8
PSN.L,19/09/2024,1680.23,1673.81,1685.67,1653.55
EOAN.DE,06/09/2024,13.12,13.29,13.31,13.12
EOAN.DE,11/09/2024,13.47,13.44,13.49,13.32
EOAN.DE,19/09/2024,13.57,13.18,13.6,13.1
SHW,10/09/2024,364.94,371.17,371.65,363.5
MRK,04/09/2024,114.96,114.12,115.03,112.81
MRK,10/09/2024,113.54,113.65,114.4,111.68
MRK,19/09/2024,117.96,116.3,118.25,115.37
TTE.PA,25/09/2024,60.23,59.81,60.65,59.47
ITW,20/09/2024,253.63,251.39,253.63,250.44
NKE,03/09/2024,82.29,80.91,82.52,80.6
BAC,06/09/2024,39.55,38.55,39.66,38.35
NKTR,05/09/2024,1.25,1.13,1.25,1.12
KO,13/09/2024,70.31,70.87,70.93,69.95
RSG,10/09/2024,204.63,205.12,205.92,203.46
QCOM,05/09/2024,162.23,162.85,164.94,161.01
SEE,13/09/2024,32.82,33.08,33.21,32.72
UNH,16/09/2024,592.73,586.89,596.5,585.51
THRY,13/09/2024,18.16,18.49,18.66,17.91
NVDA,12/09/2024,116.83,119.13,120.78,115.37
BK,19/09/2024,70.67,70.89,71.09,69.78
CNR.TO,06/09/2024,156.79,155.59,157.63,154.41
BOL.PA,03/09/2024,5.82,5.82,5.82,5.79
AGN.AS,12/09/2024,5.4,5.37,5.45,5.32
HCP,16/09/2024,33.86,33.99,33.99,33.79
ITCI,16/09/2024,75.75,75.26,76.6,75.21
GOOGL,09/09/2024,152.34,148.54,153.22,147.05
GOOG,09/09/2024,153.46,149.37,154.46,148.03
CSCO,20/09/2024,50.71,51.23,51.58,50.68
BKNG,06/09/2024,3770.89,3725.18,3788.06,3694.85
BRDCY,19/09/2024,18.6,19.13,19.14,18.6
ABDN.L,19/09/2024,148.05,155.2,155.2,148.05
TC.TO,27/09/2024,28.75,28.4,29.23,28.3
DIS,24/09/2024,92.93,93.28,93.38,92.05
DHR,24/09/2024,271.96,273.61,275.14,270.46
PRX.AS,02/09/2024,33.27,33.43,33.49,32.97
GE,26/09/2024,189.09,184.29,189.24,184.23
AEM.TO,13/09/2024,112.27,112.53,113.45,111.96
ABBV,13/09/2024,190.53,190.87,191.24,188.51
GLEN.L,13/09/2024,374.45,377.35,379.3,373.75
IMB.L,13/09/2024,2240.1,2243.1,2256.09,2227.11
RR.L,13/09/2024,492.4,501.2,501.2,488.5
BBVA,13/09/2024,9.86,9.98,9.99,9.85
NVDA,13/09/2024,119.07,119.09,119.95,117.59
MS,13/09/2024,95.47,96.83,97.32,95.46
BLK,09/09/2024,869.14,873.61,879.65,866.63
CME,09/09/2024,213.63,212.22,214.69,211.44
REGN,03/09/2024,1177.22,1167.31,1191.01,1161.38
MRK,16/09/2024,114.88,117.02,117.43,114.88
